,properIngredients,cuisine,pred_cuisine,check
34009,ground cloves ground allspice ground cinnamon cranberry juice cocktail lemon juice orange orange juice sugar apple juice,irish,southern_us,False
12191,lemongrass basil peanut oil iceberg lettuce fish sauce nuoc nam rice vermicelli beansprouts peanut cilantro sprigs shrimp sugar red pepper flakes garlic onion,vietnamese,vietnamese,True
23541,cooked rice orange bell pepper flour tortillas salsa chopped cilantro fresh black beans grilled chicken salt fresh lime juice romaine lettuce chopped tomatoes chili powder shredded cheese avocado corn diced red onions greek style plain yogurt adobo sauce,mexican,mexican,True
18246,chicken breasts barbecue sauce,southern_us,southern_us,True
39143,olive oil red wine vinegar garlic powder cucumber green olives yukon gold potatoes celery salt and ground black pepper purple onion,italian,spanish,False
7279,lime purple onion tomato cilantro avocado jalapeno chilies cooked shrimp kosher salt black olives,mexican,mexican,True
29683,fresh cilantro garlic cloves fish sauce chile pepper palm sugar chicken livers soy sauce sea salt,thai,thai,True
14819,water fish sauce garlic sugar,vietnamese,vietnamese,True
17930,peanut butter boneless  skinless chicken breast chili sauce soy sauce hellmann  or best food real mayonnais peanut,thai,thai,True
18599,dumpling wrappers vegetable oil corn starch cold water fresh ginger root salt chinese black vinegar light soy sauce ground pork toasted sesame oil fresh cilantro granulated sugar scallion,chinese,chinese,True
19972,mozzarella cheese chicken cutlets garlic cloves egg crushed tomatoes red pepper flakes fresh basil leaves sugar olive oil salt dried oregano bread crumbs grated parmesan cheese yellow onion,italian,italian,True
15305,water salt sugar ginger oil dark soy sauce rice wine scallion soy sauce star anise chicken,chinese,chinese,True
8043,kosher salt cracked black pepper dried oregano olive oil cayenne pepper cumin brown sugar chili powder pork roast granulated garlic onion powder smoked paprika,mexican,mexican,True
27735,vinegar salt whipped cream egg whites berry sugar raspberry sauce,british,french,False
31728,olive oil margarine angel hair broccoli florets shredded mozzarella cheese ground black pepper chopped onion minced garlic salt shrimp,italian,italian,True
2622,chickpea naan salt oil yoghurt sauce masala cayenne pepper chopped cilantro,indian,indian,True
26448,sugar garlic sesame oil scallion chili pepper salt string beans vegetable oil oyster sauce,chinese,chinese,True
35878,blueberry sugar brioche fresh lemon juice raspberry,british,french,False
26532,butter cream cheese heavy cream,italian,french,False
27572,turbinado fish sauce coriander seeds chicken parts sea salt Saigon cinnamon scallion mint lime leaf shallot cheese soybean sprouts serrano chile black peppercorns water thai basil cooked chicken star anise sauce chopped cilantro fresh clove stock fresh ginger Sriracha rice noodles yellow onion cardamom pods chicken,vietnamese,vietnamese,True
21537,soy sauce sake salmon steaks sugar mirin,japanese,japanese,True
12192,rolled oats baking powder salt rosewater egg unsalted butter buttermilk grated lemon zest cornmeal sugar crumb topping vanilla extract dark brown sugar blackberry baking soda cinnamon all purpose flour ground cardamom,southern_us,southern_us,True
24816,low fat milk pepper low sodium jarred chicken soup base all purpose flour,southern_us,southern_us,True
4225,pasta green onions salt cabbage pepper vegetable oil chicken fingers soy sauce lime wedges broccoli cauliflower shredded carrots garlic chopped cilantro,italian,thai,False
